===== [2026年 08月 27日 星期四 15:17:14 CST] baseline 开始 =====
[2026-08-27 15:17:21,269][numexpr.utils][INFO] - Note: NumExpr detected 48 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 16.
[2026-08-27 15:17:21,269][numexpr.utils][INFO] - NumExpr defaulting to 16 threads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/617 [00:00<?, ?it/s]Loading weights:  38%|███▊      | 233/617 [00:00<00:00, 2328.51it/s]Loading weights:  78%|███████▊  | 483/617 [00:00<00:00, 2426.21it/s]Loading weights: 100%|██████████| 617/617 [00:00<00:00, 2587.05it/s]
[2026-08-27 15:17:28,397][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/datasets/lmms-lab-encoder/MMBench/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
[2026-08-27 15:17:28,562][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/datasets/lmms-lab-encoder/MMBench/56ba1af8954932c4804bd3f522e05ed96e63b654/README.md "HTTP/1.1 200 OK"
[2026-08-27 15:17:28,877][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/datasets/lmms-lab-encoder/MMBench/resolve/56ba1af8954932c4804bd3f522e05ed96e63b654/MMBench.py "HTTP/1.1 404 Not Found"
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-08-27 15:17:28,878][huggingface_hub.utils._http][WARNING] - Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-08-27 15:17:29,650][httpx][INFO] - HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/lmms-lab-encoder/MMBench/lmms-lab-encoder/MMBench.py "HTTP/1.1 404 Not Found"
[2026-08-27 15:17:30,990][httpx][INFO] - HTTP Request: GET https://hf-mirror.com/api/datasets/lmms-lab-encoder/MMBench/revision/56ba1af8954932c4804bd3f522e05ed96e63b654 "HTTP/1.1 200 OK"
[2026-08-27 15:17:31,254][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/datasets/lmms-lab-encoder/MMBench/resolve/56ba1af8954932c4804bd3f522e05ed96e63b654/.huggingface.yaml "HTTP/1.1 404 Not Found"
[2026-08-27 15:17:32,515][httpx][INFO] - HTTP Request: GET https://hf-mirror.com/api/datasets/lmms-lab-encoder/MMBench/tree/56ba1af8954932c4804bd3f522e05ed96e63b654/cc?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-08-27 15:17:32,931][httpx][INFO] - HTTP Request: GET https://hf-mirror.com/api/datasets/lmms-lab-encoder/MMBench/tree/56ba1af8954932c4804bd3f522e05ed96e63b654?recursive=false&expand=false "HTTP/1.1 200 OK"
[2026-08-27 15:17:33,502][httpx][INFO] - HTTP Request: HEAD https://hf-mirror.com/datasets/lmms-lab-encoder/MMBench/resolve/56ba1af8954932c4804bd3f522e05ed96e63b654/dataset_infos.json "HTTP/1.1 404 Not Found"
[2026-08-27 15:17:33,891][httpx][INFO] - HTTP Request: GET https://hf-mirror.com/api/datasets/lmms-lab-encoder/MMBench/tree/56ba1af8954932c4804bd3f522e05ed96e63b654/cn?recursive=true&expand=false "HTTP/1.1 200 OK"
Model: /home/jxy/TTL/Qwen3.5-2B
Strategy: none (online.enabled=False), backend=hf, enable_thinking=False
Dataset: lmms-lab-encoder/MMBench cn dev, n=4329
[1/4329] acc=1.0000 pred=B gold=B loss=None (2.2s/sample)
[20/4329] acc=0.8000 pred=A gold=A loss=None (0.7s/sample)
[40/4329] acc=0.7000 pred=A gold=A loss=None (0.6s/sample)
[60/4329] acc=0.7000 pred=A gold=A loss=None (0.6s/sample)
[80/4329] acc=0.7500 pred=B gold=B loss=None (0.6s/sample)
[100/4329] acc=0.7600 pred=B gold=C loss=None (0.6s/sample)
[120/4329] acc=0.7250 pred=C gold=C loss=None (0.6s/sample)
[140/4329] acc=0.7214 pred=B gold=A loss=None (0.6s/sample)
[160/4329] acc=0.7312 pred=B gold=B loss=None (0.6s/sample)
[180/4329] acc=0.7333 pred=A gold=A loss=None (0.6s/sample)
[200/4329] acc=0.7350 pred=B gold=A loss=None (0.6s/sample)
[220/4329] acc=0.7045 pred=A gold=C loss=None (0.6s/sample)
[240/4329] acc=0.6708 pred=A gold=D loss=None (0.6s/sample)
[260/4329] acc=0.6885 pred=D gold=D loss=None (0.7s/sample)
[280/4329] acc=0.7107 pred=D gold=D loss=None (0.7s/sample)
[300/4329] acc=0.7300 pred=A gold=A loss=None (0.7s/sample)
[320/4329] acc=0.7438 pred=B gold=B loss=None (0.7s/sample)
[340/4329] acc=0.7588 pred=A gold=A loss=None (0.7s/sample)
[360/4329] acc=0.7639 pred=C gold=C loss=None (0.7s/sample)
[380/4329] acc=0.7605 pred=C gold=B loss=None (0.7s/sample)
[400/4329] acc=0.7600 pred=C gold=C loss=None (0.7s/sample)
[420/4329] acc=0.7571 pred=C gold=A loss=None (0.7s/sample)
[440/4329] acc=0.7636 pred=C gold=C loss=None (0.7s/sample)
[460/4329] acc=0.7609 pred=B gold=A loss=None (0.7s/sample)
[480/4329] acc=0.7583 pred=B gold=D loss=None (0.7s/sample)
[500/4329] acc=0.7640 pred=A gold=A loss=None (0.7s/sample)
[520/4329] acc=0.7731 pred=D gold=D loss=None (0.7s/sample)
[540/4329] acc=0.7685 pred=B gold=B loss=None (0.7s/sample)
[560/4329] acc=0.7643 pred=A gold=A loss=None (0.7s/sample)
[580/4329] acc=0.7621 pred=A gold=A loss=None (0.7s/sample)
[600/4329] acc=0.7683 pred=A gold=A loss=None (0.7s/sample)
[620/4329] acc=0.7742 pred=C gold=B loss=None (0.7s/sample)
[640/4329] acc=0.7781 pred=C gold=C loss=None (0.7s/sample)
[660/4329] acc=0.7773 pred=C gold=C loss=None (0.7s/sample)
[680/4329] acc=0.7838 pred=D gold=D loss=None (0.7s/sample)
[700/4329] acc=0.7886 pred=B gold=B loss=None (0.7s/sample)
[720/4329] acc=0.7944 pred=D gold=D loss=None (0.7s/sample)
[740/4329] acc=0.8000 pred=A gold=A loss=None (0.7s/sample)
[760/4329] acc=0.8039 pred=B gold=B loss=None (0.7s/sample)
[780/4329] acc=0.8077 pred=D gold=D loss=None (0.7s/sample)
[800/4329] acc=0.8125 pred=A gold=A loss=None (0.7s/sample)
[820/4329] acc=0.8171 pred=A gold=A loss=None (0.7s/sample)
[840/4329] acc=0.8190 pred=C gold=C loss=None (0.7s/sample)
[860/4329] acc=0.8209 pred=C gold=C loss=None (0.7s/sample)
[880/4329] acc=0.8182 pred=D gold=D loss=None (0.7s/sample)
[900/4329] acc=0.8178 pred=C gold=C loss=None (0.6s/sample)
[920/4329] acc=0.8217 pred=A gold=A loss=None (0.6s/sample)
[940/4329] acc=0.8213 pred=C gold=C loss=None (0.6s/sample)
[960/4329] acc=0.8177 pred=A gold=A loss=None (0.7s/sample)
[980/4329] acc=0.8173 pred=B gold=B loss=None (0.7s/sample)
[1000/4329] acc=0.8160 pred=C gold=C loss=None (0.7s/sample)
[1020/4329] acc=0.8186 pred=A gold=A loss=None (0.7s/sample)
[1040/4329] acc=0.8202 pred=B gold=B loss=None (0.7s/sample)
[1060/4329] acc=0.8236 pred=C gold=C loss=None (0.7s/sample)
[1080/4329] acc=0.8176 pred=A gold=D loss=None (0.7s/sample)
[1100/4329] acc=0.8109 pred=C gold=C loss=None (0.7s/sample)
[1120/4329] acc=0.8134 pred=A gold=A loss=None (0.7s/sample)
[1140/4329] acc=0.8105 pred=C gold=A loss=None (0.7s/sample)
[1160/4329] acc=0.8069 pred=D gold=A loss=None (0.7s/sample)
[1180/4329] acc=0.8068 pred=B gold=B loss=None (0.7s/sample)
[1200/4329] acc=0.8042 pred=A gold=B loss=None (0.7s/sample)
[1220/4329] acc=0.8041 pred=B gold=B loss=None (0.7s/sample)
[1240/4329] acc=0.8040 pred=B gold=B loss=None (0.6s/sample)
[1260/4329] acc=0.8063 pred=B gold=A loss=None (0.6s/sample)
[1280/4329] acc=0.8055 pred=B gold=B loss=None (0.6s/sample)
[1300/4329] acc=0.8038 pred=B gold=B loss=None (0.6s/sample)
[1320/4329] acc=0.8045 pred=B gold=B loss=None (0.6s/sample)
